image,obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
D:\Yannick\taak_Noor\humanstim\humanstim\469\e3\w_background\loc6\image021.png,469,e3,w_background,6,bathtub,ppn18,cab,0
D:\Yannick\taak_Noor\humanstim\humanstim\469\e4\a_background\loc7\image080.png,469,e4,a_background,7,pirateship,ppn18,cab,0
D:\Yannick\taak_Noor\humanstim\humanstim\469\e5\t_background\loc3\image021.png,469,e5,t_background,3,cab,ppn18,cab,1
D:\Yannick\taak_Noor\humanstim\humanstim\469\e6\w_background\loc2\image021.png,469,e6,w_background,2,cab,ppn18,cab,1
D:\Yannick\taak_Noor\humanstim\humanstim\469\e7\a_background\loc8\image076.png,469,e7,a_background,8,sportscar,ppn18,cab,0
D:\Yannick\taak_Noor\humanstim\humanstim\469\e8\t_background\loc5\image005.png,469,e8,t_background,5,cab,ppn18,cab,1
D:\Yannick\taak_Noor\humanstim\humanstim\469\e9\w_background\loc4\image021.png,469,e9,w_background,4,cab,ppn18,cab,1
D:\Yannick\taak_Noor\humanstim\humanstim\473\e1\a_background\loc4\image048.png,473,e1,a_background,4,pirateship,ppn18,canoe,0
D:\Yannick\taak_Noor\humanstim\humanstim\473\e2\t_background\loc2\image025.png,473,e2,t_background,2,canoe,ppn18,canoe,1
D:\Yannick\taak_Noor\humanstim\humanstim\473\e3\w_background\loc6\image015.png,473,e3,w_background,6,canoe,ppn18,canoe,1
D:\Yannick\taak_Noor\humanstim\humanstim\473\e4\a_background\loc9\image090.png,473,e4,a_background,9,pirateship,ppn18,canoe,0
D:\Yannick\taak_Noor\humanstim\humanstim\473\e5\t_background\loc8\image017.png,473,e5,t_background,8,canoe,ppn18,canoe,1
D:\Yannick\taak_Noor\humanstim\humanstim\473\e6\w_background\loc7\image015.png,473,e6,w_background,7,remote,ppn18,canoe,0
D:\Yannick\taak_Noor\humanstim\humanstim\473\e7\a_background\loc5\image099.png,473,e7,a_background,5,grandpiano,ppn18,canoe,0
D:\Yannick\taak_Noor\humanstim\humanstim\473\e8\t_background\loc3\image015.png,473,e8,t_background,3,canoe,ppn18,canoe,1
D:\Yannick\taak_Noor\humanstim\humanstim\473\e9\w_background\loc1\image015.png,473,e9,w_background,1,schoolbus,ppn18,canoe,0
D:\Yannick\taak_Noor\humanstim\humanstim\488\e1\a_background\loc8\image099.png,488,e1,a_background,8,cellulartelephone,ppn18,cellulartelephone,1
D:\Yannick\taak_Noor\humanstim\humanstim\488\e2\t_background\loc6\image031.png,488,e2,t_background,6,cellulartelephone,ppn18,cellulartelephone,1
D:\Yannick\taak_Noor\humanstim\humanstim\488\e3\w_background\loc9\image031.png,488,e3,w_background,9,cellulartelephone,ppn18,cellulartelephone,1
D:\Yannick\taak_Noor\humanstim\humanstim\488\e4\a_background\loc4\image089.png,488,e4,a_background,4,pirateship,ppn18,cellulartelephone,0
D:\Yannick\taak_Noor\humanstim\humanstim\488\e5\t_background\loc2\image027.png,488,e5,t_background,2,pirateship,ppn18,cellulartelephone,0
D:\Yannick\taak_Noor\humanstim\humanstim\488\e6\w_background\loc1\image031.png,488,e6,w_background,1,pirateship,ppn18,cellulartelephone,0
D:\Yannick\taak_Noor\humanstim\humanstim\488\e7\a_background\loc7\image102.png,488,e7,a_background,7,microwave,ppn18,cellulartelephone,0
