image,obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
D:\Yannick\taak_Noor\humanstim\humanstim\780\e5\t_background\loc1\image047.png,780,e5,t_background,1,pirateship,ppn18,schoolbus,0
D:\Yannick\taak_Noor\humanstim\humanstim\780\e6\w_background\loc9\image001.png,780,e6,w_background,9,schoolbus,ppn18,schoolbus,1
D:\Yannick\taak_Noor\humanstim\humanstim\780\e7\a_background\loc8\image111.png,780,e7,a_background,8,schoolbus,ppn18,schoolbus,1
D:\Yannick\taak_Noor\humanstim\humanstim\780\e8\t_background\loc2\image001.png,780,e8,t_background,2,schoolbus,ppn18,schoolbus,1
D:\Yannick\taak_Noor\humanstim\humanstim\780\e9\w_background\loc6\image001.png,780,e9,w_background,6,schoolbus,ppn18,schoolbus,1
D:\Yannick\taak_Noor\humanstim\humanstim\783\e1\a_background\loc6\image113.png,783,e1,a_background,6,printer,ppn18,screen,0
D:\Yannick\taak_Noor\humanstim\humanstim\783\e2\t_background\loc1\image010.png,783,e2,t_background,1,pirateship,ppn18,screen,0
D:\Yannick\taak_Noor\humanstim\humanstim\783\e3\w_background\loc2\image010.png,783,e3,w_background,2,screen,ppn18,screen,1
D:\Yannick\taak_Noor\humanstim\humanstim\783\e4\a_background\loc7\image151.png,783,e4,a_background,7,screen,ppn18,screen,1
D:\Yannick\taak_Noor\humanstim\humanstim\783\e5\t_background\loc9\image034.png,783,e5,t_background,9,screen,ppn18,screen,1
D:\Yannick\taak_Noor\humanstim\humanstim\783\e6\w_background\loc8\image010.png,783,e6,w_background,8,screen,ppn18,screen,1
D:\Yannick\taak_Noor\humanstim\humanstim\783\e7\a_background\loc4\image166.png,783,e7,a_background,4,microwave,ppn18,screen,0
D:\Yannick\taak_Noor\humanstim\humanstim\783\e8\t_background\loc5\image017.png,783,e8,t_background,5,screen,ppn18,screen,1
D:\Yannick\taak_Noor\humanstim\humanstim\783\e9\w_background\loc3\image010.png,783,e9,w_background,3,screen,ppn18,screen,1
D:\Yannick\taak_Noor\humanstim\humanstim\815\e1\a_background\loc9\image100.png,815,e1,a_background,9,wallclock,ppn18,speedboat,0
D:\Yannick\taak_Noor\humanstim\humanstim\815\e2\t_background\loc3\image022.png,815,e2,t_background,3,speedboat,ppn18,speedboat,1
D:\Yannick\taak_Noor\humanstim\humanstim\815\e3\w_background\loc6\image022.png,815,e3,w_background,6,remote,ppn18,speedboat,0
D:\Yannick\taak_Noor\humanstim\humanstim\815\e4\a_background\loc7\image105.png,815,e4,a_background,7,pirateship,ppn18,speedboat,0
D:\Yannick\taak_Noor\humanstim\humanstim\815\e5\t_background\loc2\image016.png,815,e5,t_background,2,pirateship,ppn18,speedboat,0
D:\Yannick\taak_Noor\humanstim\humanstim\815\e6\w_background\loc8\image022.png,815,e6,w_background,8,speedboat,ppn18,speedboat,1
D:\Yannick\taak_Noor\humanstim\humanstim\815\e7\a_background\loc4\image122.png,815,e7,a_background,4,speedboat,ppn18,speedboat,1
D:\Yannick\taak_Noor\humanstim\humanstim\815\e8\t_background\loc5\image018.png,815,e8,t_background,5,speedboat,ppn18,speedboat,1
D:\Yannick\taak_Noor\humanstim\humanstim\815\e9\w_background\loc1\image022.png,815,e9,w_background,1,pirateship,ppn18,speedboat,0
D:\Yannick\taak_Noor\humanstim\humanstim\818\e1\a_background\loc7\image118.png,818,e1,a_background,7,pirateship,ppn18,sportscar,0
D:\Yannick\taak_Noor\humanstim\humanstim\818\e2\t_background\loc2\image032.png,818,e2,t_background,2,cab,ppn18,sportscar,0
D:\Yannick\taak_Noor\humanstim\humanstim\818\e3\w_background\loc6\image032.png,818,e3,w_background,6,sportscar,ppn18,sportscar,1
D:\Yannick\taak_Noor\humanstim\humanstim\818\e4\a_background\loc5\image106.png,818,e4,a_background,5,sportscar,ppn18,sportscar,1
D:\Yannick\taak_Noor\humanstim\humanstim\818\e5\t_background\loc8\image030.png,818,e5,t_background,8,sportscar,ppn18,sportscar,1
D:\Yannick\taak_Noor\humanstim\humanstim\818\e6\w_background\loc9\image032.png,818,e6,w_background,9,sportscar,ppn18,sportscar,1
D:\Yannick\taak_Noor\humanstim\humanstim\818\e7\a_background\loc4\image151.png,818,e7,a_background,4,pirateship,ppn18,sportscar,0
D:\Yannick\taak_Noor\humanstim\humanstim\818\e8\t_background\loc1\image046.png,818,e8,t_background,1,cab,ppn18,sportscar,0
D:\Yannick\taak_Noor\humanstim\humanstim\818\e9\w_background\loc3\image032.png,818,e9,w_background,3,sportscar,ppn18,sportscar,1
D:\Yannick\taak_Noor\humanstim\humanstim\847\e1\a_background\loc4\image132.png,847,e1,a_background,4,tablelamp,ppn18,tablelamp,1
D:\Yannick\taak_Noor\humanstim\humanstim\847\e2\t_background\loc7\image002.png,847,e2,t_background,7,pirateship,ppn18,tablelamp,0
D:\Yannick\taak_Noor\humanstim\humanstim\847\e3\w_background\loc6\image002.png,847,e3,w_background,6,tablelamp,ppn18,tablelamp,1
D:\Yannick\taak_Noor\humanstim\humanstim\847\e4\a_background\loc3\image123.png,847,e4,a_background,3,tablelamp,ppn18,tablelamp,1
D:\Yannick\taak_Noor\humanstim\humanstim\847\e5\t_background\loc9\image003.png,847,e5,t_background,9,wallclock,ppn18,tablelamp,0
D:\Yannick\taak_Noor\humanstim\humanstim\847\e6\w_background\loc5\image002.png,847,e6,w_background,5,tablelamp,ppn18,tablelamp,1
D:\Yannick\taak_Noor\humanstim\humanstim\847\e7\a_background\loc8\image134.png,847,e7,a_background,8,tablelamp,ppn18,tablelamp,1
D:\Yannick\taak_Noor\humanstim\humanstim\847\e8\t_background\loc1\image093.png,847,e8,t_background,1,pirateship,ppn18,tablelamp,0
D:\Yannick\taak_Noor\humanstim\humanstim\847\e9\w_background\loc2\image002.png,847,e9,w_background,2,tablelamp,ppn18,tablelamp,1
D:\Yannick\taak_Noor\humanstim\humanstim\893\e1\a_background\loc3\image112.png,893,e1,a_background,3,wallclock,ppn18,wallclock,1
D:\Yannick\taak_Noor\humanstim\humanstim\893\e2\t_background\loc9\image065.png,893,e2,t_background,9,wallclock,ppn18,wallclock,1
D:\Yannick\taak_Noor\humanstim\humanstim\893\e3\w_background\loc1\image065.png,893,e3,w_background,1,pirateship,ppn18,wallclock,0
D:\Yannick\taak_Noor\humanstim\humanstim\893\e4\a_background\loc2\image123.png,893,e4,a_background,2,microphone,ppn18,wallclock,0
D:\Yannick\taak_Noor\humanstim\humanstim\893\e5\t_background\loc5\image036.png,893,e5,t_background,5,wallclock,ppn18,wallclock,1
D:\Yannick\taak_Noor\humanstim\humanstim\893\e6\w_background\loc4\image065.png,893,e6,w_background,4,wallclock,ppn18,wallclock,1
D:\Yannick\taak_Noor\humanstim\humanstim\893\e7\a_background\loc8\image138.png,893,e7,a_background,8,wallclock,ppn18,wallclock,1
D:\Yannick\taak_Noor\humanstim\humanstim\893\e8\t_background\loc7\image014.png,893,e8,t_background,7,screen,ppn18,wallclock,0
D:\Yannick\taak_Noor\humanstim\humanstim\893\e9\w_background\loc6\image065.png,893,e9,w_background,6,wallclock,ppn18,wallclock,1
