obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
403,e8,a_background,3,acousticguitar,ppn32,acousticguitar,1
403,e2,a_background,6,printer,ppn32,acousticguitar,0
403,e5,a_background,4,birdhouse,ppn32,acousticguitar,0
403,e6,t_background,2,acousticguitar,ppn32,acousticguitar,1
403,e3,t_background,9,tablelamp,ppn32,acousticguitar,0
403,e9,t_background,5,acousticguitar,ppn32,acousticguitar,1
403,e7,w_background,8,acousticguitar,ppn32,acousticguitar,1
403,e1,w_background,7,acousticguitar,ppn32,acousticguitar,1
403,e4,w_background,1,acousticguitar,ppn32,acousticguitar,1
405,e8,a_background,9,tablelamp,ppn32,airliner,0
405,e2,a_background,1,airliner,ppn32,airliner,1
405,e5,a_background,7,airliner,ppn32,airliner,1
405,e3,t_background,6,airliner,ppn32,airliner,1
405,e6,t_background,8,sportscar,ppn32,airliner,0
405,e9,t_background,4,parkbench,ppn32,airliner,0
405,e4,w_background,5,airliner,ppn32,airliner,1
405,e7,w_background,2,airliner,ppn32,airliner,1
405,e1,w_background,3,airliner,ppn32,airliner,1
436,e5,a_background,2,sportscar,ppn32,bathtub,0
436,e8,a_background,6,acousticguitar,ppn32,bathtub,0
436,e2,a_background,4,pirateship,ppn32,bathtub,0
436,e9,t_background,7,microwave,ppn32,bathtub,0
436,e6,t_background,8,dishwasher,ppn32,bathtub,0
436,e3,t_background,9,pirateship,ppn32,bathtub,0
436,e7,w_background,5,bathtub,ppn32,bathtub,1
436,e4,w_background,1,grandpiano,ppn32,bathtub,0
436,e1,w_background,3,sportscar,ppn32,bathtub,0
449,e5,a_background,7,wallclock,ppn32,birdhouse,0
449,e2,a_background,4,dishwasher,ppn32,birdhouse,0
449,e8,a_background,9,loudspeaker,ppn32,birdhouse,0
449,e9,t_background,2,parkbench,ppn32,birdhouse,0
449,e6,t_background,8,wallclock,ppn32,birdhouse,0
449,e3,t_background,3,airliner,ppn32,birdhouse,0
449,e7,w_background,5,birdhouse,ppn32,birdhouse,1
449,e1,w_background,6,birdhouse,ppn32,birdhouse,1
449,e4,w_background,1,birdhouse,ppn32,birdhouse,1
469,e8,a_background,9,cab,ppn32,cab,1
469,e5,a_background,2,cab,ppn32,cab,1
469,e2,a_background,8,parkbench,ppn32,cab,0
469,e3,t_background,3,cab,ppn32,cab,1
469,e6,t_background,7,cab,ppn32,cab,1
469,e9,t_background,6,cab,ppn32,cab,1
469,e4,w_background,5,cab,ppn32,cab,1
469,e1,w_background,4,cab,ppn32,cab,1
469,e7,w_background,1,sportscar,ppn32,cab,0
473,e5,a_background,2,canoe,ppn32,canoe,1
473,e8,a_background,1,birdhouse,ppn32,canoe,0
473,e2,a_background,4,acousticguitar,ppn32,canoe,0
473,e3,t_background,9,mailbox,ppn32,canoe,0
473,e9,t_background,6,canoe,ppn32,canoe,1
473,e6,t_background,8,canoe,ppn32,canoe,1
473,e4,w_background,5,cellulartelephone,ppn32,canoe,0
473,e1,w_background,3,canoe,ppn32,canoe,1
473,e7,w_background,7,remote,ppn32,canoe,0
488,e5,a_background,5,cellulartelephone,ppn32,cellulartelephone,1
488,e2,a_background,2,remote,ppn32,cellulartelephone,0
488,e8,a_background,3,cellulartelephone,ppn32,cellulartelephone,1
