obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
403,e8,a_background,9,pirateship,ppn22,acousticguitar,0
403,e5,a_background,5,acousticguitar,ppn22,acousticguitar,1
403,e2,a_background,7,remote,ppn22,acousticguitar,0
403,e4,t_background,4,remote,ppn22,acousticguitar,0
403,e1,t_background,6,acousticguitar,ppn22,acousticguitar,1
403,e7,t_background,1,acousticguitar,ppn22,acousticguitar,1
403,e3,w_background,8,acousticguitar,ppn22,acousticguitar,1
403,e6,w_background,2,acousticguitar,ppn22,acousticguitar,1
403,e9,w_background,3,acousticguitar,ppn22,acousticguitar,1
405,e2,a_background,1,airliner,ppn22,airliner,1
405,e8,a_background,7,airliner,ppn22,airliner,1
405,e5,a_background,9,chinacabinet,ppn22,airliner,0
405,e7,t_background,6,airliner,ppn22,airliner,1
405,e4,t_background,5,airliner,ppn22,airliner,1
405,e1,t_background,2,airliner,ppn22,airliner,1
405,e6,w_background,3,airliner,ppn22,airliner,1
405,e9,w_background,4,airliner,ppn22,airliner,1
405,e3,w_background,8,airliner,ppn22,airliner,1
436,e8,a_background,2,cab,ppn22,bathtub,0
436,e5,a_background,8,canoe,ppn22,bathtub,0
436,e2,a_background,1,canoe,ppn22,bathtub,0
436,e7,t_background,6,bathtub,ppn22,bathtub,1
436,e1,t_background,3,microphone,ppn22,bathtub,0
436,e4,t_background,9,bathtub,ppn22,bathtub,1
436,e6,w_background,5,bathtub,ppn22,bathtub,1
436,e9,w_background,7,printer,ppn22,bathtub,0
436,e3,w_background,4,dishwasher,ppn22,bathtub,0
449,e2,a_background,5,birdhouse,ppn22,birdhouse,1
449,e5,a_background,2,wallclock,ppn22,birdhouse,0
449,e8,a_background,3,tablelamp,ppn22,birdhouse,0
449,e7,t_background,6,birdhouse,ppn22,birdhouse,1
449,e4,t_background,8,mailbox,ppn22,birdhouse,0
449,e1,t_background,1,birdhouse,ppn22,birdhouse,1
449,e3,w_background,4,birdhouse,ppn22,birdhouse,1
449,e9,w_background,9,printer,ppn22,birdhouse,0
449,e6,w_background,7,chinacabinet,ppn22,birdhouse,0
469,e8,a_background,1,cab,ppn22,cab,1
469,e5,a_background,9,rockingchair,ppn22,cab,0
