obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
403,e1,a_background,2,birdhouse,ppn6,acousticguitar,0
403,e4,a_background,8,acousticguitar,ppn6,acousticguitar,1
403,e7,a_background,1,canoe,ppn6,acousticguitar,0
403,e2,t_background,4,loudspeaker,ppn6,acousticguitar,0
403,e8,t_background,5,tablelamp,ppn6,acousticguitar,0
403,e5,t_background,7,cellulartelephone,ppn6,acousticguitar,0
403,e9,w_background,6,acousticguitar,ppn6,acousticguitar,1
403,e6,w_background,9,acousticguitar,ppn6,acousticguitar,1
403,e3,w_background,3,acousticguitar,ppn6,acousticguitar,1
405,e7,a_background,4,airliner,ppn6,airliner,1
405,e4,a_background,1,sportscar,ppn6,airliner,0
405,e1,a_background,8,microwave,ppn6,airliner,0
405,e5,t_background,7,canoe,ppn6,airliner,0
405,e8,t_background,9,airliner,ppn6,airliner,1
405,e2,t_background,6,printer,ppn6,airliner,0
405,e3,w_background,5,airliner,ppn6,airliner,1
405,e9,w_background,3,airliner,ppn6,airliner,1
405,e6,w_background,2,airliner,ppn6,airliner,1
436,e1,a_background,8,wallclock,ppn6,bathtub,0
436,e7,a_background,7,bathtub,ppn6,bathtub,1
436,e4,a_background,5,bathtub,ppn6,bathtub,1
436,e8,t_background,2,bathtub,ppn6,bathtub,1
436,e2,t_background,9,bathtub,ppn6,bathtub,1
436,e5,t_background,1,bathtub,ppn6,bathtub,1
436,e6,w_background,3,wallclock,ppn6,bathtub,0
436,e9,w_background,6,bathtub,ppn6,bathtub,1
436,e3,w_background,4,bathtub,ppn6,bathtub,1
449,e7,a_background,9,grandpiano,ppn6,birdhouse,0
449,e4,a_background,4,tablelamp,ppn6,birdhouse,0
449,e1,a_background,2,cellulartelephone,ppn6,birdhouse,0
449,e2,t_background,6,birdhouse,ppn6,birdhouse,1
449,e8,t_background,7,mailbox,ppn6,birdhouse,0
449,e5,t_background,5,birdhouse,ppn6,birdhouse,1
449,e3,w_background,3,birdhouse,ppn6,birdhouse,1
449,e9,w_background,1,bathtub,ppn6,birdhouse,0
449,e6,w_background,8,tablelamp,ppn6,birdhouse,0
469,e4,a_background,8,cab,ppn6,cab,1
469,e1,a_background,4,remote,ppn6,cab,0
469,e7,a_background,3,cab,ppn6,cab,1
469,e8,t_background,1,cab,ppn6,cab,1
469,e5,t_background,9,cab,ppn6,cab,1
469,e2,t_background,5,cab,ppn6,cab,1
469,e9,w_background,7,schoolbus,ppn6,cab,0
469,e3,w_background,6,cab,ppn6,cab,1
469,e6,w_background,2,cab,ppn6,cab,1
473,e1,a_background,2,tablelamp,ppn6,canoe,0
473,e4,a_background,3,microwave,ppn6,canoe,0
473,e7,a_background,9,canoe,ppn6,canoe,1
473,e5,t_background,4,canoe,ppn6,canoe,1
473,e2,t_background,7,canoe,ppn6,canoe,1
473,e8,t_background,5,canoe,ppn6,canoe,1
473,e9,w_background,1,canoe,ppn6,canoe,1
473,e6,w_background,8,remote,ppn6,canoe,0
473,e3,w_background,6,speedboat,ppn6,canoe,0
488,e4,a_background,9,parkbench,ppn6,cellulartelephone,0
488,e1,a_background,4,canoe,ppn6,cellulartelephone,0
488,e7,a_background,6,screen,ppn6,cellulartelephone,0
488,e8,t_background,7,cellulartelephone,ppn6,cellulartelephone,1
488,e5,t_background,8,cellulartelephone,ppn6,cellulartelephone,1
488,e2,t_background,5,cellulartelephone,ppn6,cellulartelephone,1
488,e6,w_background,3,loudspeaker,ppn6,cellulartelephone,0
488,e9,w_background,1,cellulartelephone,ppn6,cellulartelephone,1
488,e3,w_background,2,cellulartelephone,ppn6,cellulartelephone,1
496,e7,a_background,3,birdhouse,ppn6,chinacabinet,0
496,e4,a_background,7,parkbench,ppn6,chinacabinet,0
496,e1,a_background,5,chinacabinet,ppn6,chinacabinet,1
496,e2,t_background,2,chinacabinet,ppn6,chinacabinet,1
496,e8,t_background,4,tablelamp,ppn6,chinacabinet,0
496,e5,t_background,8,chinacabinet,ppn6,chinacabinet,1
496,e3,w_background,1,grandpiano,ppn6,chinacabinet,0
496,e6,w_background,9,chinacabinet,ppn6,chinacabinet,1
496,e9,w_background,6,chinacabinet,ppn6,chinacabinet,1
535,e4,a_background,1,airliner,ppn6,dishwasher,0
535,e7,a_background,6,laptop,ppn6,dishwasher,0
535,e1,a_background,9,schoolbus,ppn6,dishwasher,0
535,e2,t_background,7,dishwasher,ppn6,dishwasher,1
535,e8,t_background,4,acousticguitar,ppn6,dishwasher,0
535,e5,t_background,5,laptop,ppn6,dishwasher,0
535,e9,w_background,2,mailbox,ppn6,dishwasher,0
535,e3,w_background,8,tablelamp,ppn6,dishwasher,0
535,e6,w_background,3,laptop,ppn6,dishwasher,0
580,e1,a_background,4,rockingchair,ppn6,grandpiano,0
580,e7,a_background,5,grandpiano,ppn6,grandpiano,1
580,e4,a_background,7,birdhouse,ppn6,grandpiano,0
580,e2,t_background,3,tablelamp,ppn6,grandpiano,0
580,e5,t_background,1,grandpiano,ppn6,grandpiano,1
580,e8,t_background,2,tablelamp,ppn6,grandpiano,0
580,e3,w_background,8,grandpiano,ppn6,grandpiano,1
580,e9,w_background,9,grandpiano,ppn6,grandpiano,1
580,e6,w_background,6,grandpiano,ppn6,grandpiano,1
621,e7,a_background,9,laptop,ppn6,laptop,1
621,e4,a_background,8,screen,ppn6,laptop,0
621,e2,t_background,5,laptop,ppn6,laptop,1
621,e5,t_background,3,dishwasher,ppn6,laptop,0
621,e8,t_background,2,screen,ppn6,laptop,0
621,e3,w_background,6,laptop,ppn6,laptop,1
621,e9,w_background,4,laptop,ppn6,laptop,1
621,e6,w_background,7,laptop,ppn6,laptop,1
628,e4,a_background,1,chinacabinet,ppn6,limousine,0
628,e1,a_background,2,screen,ppn6,limousine,0
628,e7,a_background,8,speedboat,ppn6,limousine,0
628,e2,t_background,7,sportscar,ppn6,limousine,0
628,e8,t_background,5,limousine,ppn6,limousine,1
628,e5,t_background,9,limousine,ppn6,limousine,1
628,e3,w_background,6,sportscar,ppn6,limousine,0
628,e9,w_background,4,limousine,ppn6,limousine,1
628,e6,w_background,3,sportscar,ppn6,limousine,0
633,e1,a_background,5,loudspeaker,ppn6,loudspeaker,1
633,e4,a_background,2,screen,ppn6,loudspeaker,0
633,e7,a_background,4,bathtub,ppn6,loudspeaker,0
633,e8,t_background,9,loudspeaker,ppn6,loudspeaker,1
