obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
403,e8,a_background,9,microwave,ppn35,acousticguitar,0
403,e5,a_background,4,bathtub,ppn35,acousticguitar,0
403,e2,a_background,7,screen,ppn35,acousticguitar,0
403,e6,t_background,3,rockingchair,ppn35,acousticguitar,0
403,e9,t_background,8,acousticguitar,ppn35,acousticguitar,1
403,e3,t_background,5,acousticguitar,ppn35,acousticguitar,1
403,e7,w_background,2,acousticguitar,ppn35,acousticguitar,1
403,e4,w_background,1,acousticguitar,ppn35,acousticguitar,1
403,e1,w_background,6,acousticguitar,ppn35,acousticguitar,1
405,e8,a_background,8,tablelamp,ppn35,airliner,0
405,e5,a_background,7,speedboat,ppn35,airliner,0
405,e2,a_background,3,tablelamp,ppn35,airliner,0
405,e3,t_background,1,airliner,ppn35,airliner,1
405,e6,t_background,2,airliner,ppn35,airliner,1
405,e9,t_background,5,airliner,ppn35,airliner,1
405,e7,w_background,9,airliner,ppn35,airliner,1
405,e4,w_background,6,airliner,ppn35,airliner,1
405,e1,w_background,4,airliner,ppn35,airliner,1
436,e5,a_background,8,microphone,ppn35,bathtub,0
436,e8,a_background,7,tablelamp,ppn35,bathtub,0
436,e2,a_background,4,bathtub,ppn35,bathtub,1
436,e6,t_background,6,bathtub,ppn35,bathtub,1
436,e3,t_background,3,tablelamp,ppn35,bathtub,0
436,e9,t_background,5,bathtub,ppn35,bathtub,1
436,e1,w_background,2,chinacabinet,ppn35,bathtub,0
436,e4,w_background,1,bathtub,ppn35,bathtub,1
436,e7,w_background,9,bathtub,ppn35,bathtub,1
449,e2,a_background,6,birdhouse,ppn35,birdhouse,1
449,e5,a_background,3,screen,ppn35,birdhouse,0
449,e8,a_background,1,tablelamp,ppn35,birdhouse,0
449,e9,t_background,2,chinacabinet,ppn35,birdhouse,0
449,e6,t_background,5,mailbox,ppn35,birdhouse,0
449,e3,t_background,9,birdhouse,ppn35,birdhouse,1
449,e4,w_background,4,birdhouse,ppn35,birdhouse,1
449,e7,w_background,7,birdhouse,ppn35,birdhouse,1
449,e1,w_background,8,birdhouse,ppn35,birdhouse,1
469,e8,a_background,2,sportscar,ppn35,cab,0
469,e5,a_background,9,limousine,ppn35,cab,0
469,e2,a_background,3,cab,ppn35,cab,1
469,e3,t_background,7,cellulartelephone,ppn35,cab,0
469,e6,t_background,8,sportscar,ppn35,cab,0
469,e9,t_background,6,cab,ppn35,cab,1
469,e4,w_background,1,cab,ppn35,cab,1
469,e7,w_background,5,cab,ppn35,cab,1
469,e1,w_background,4,cab,ppn35,cab,1
473,e5,a_background,8,tablelamp,ppn35,canoe,0
473,e2,a_background,9,laptop,ppn35,canoe,0
473,e8,a_background,3,tablelamp,ppn35,canoe,0
473,e3,t_background,5,canoe,ppn35,canoe,1
473,e6,t_background,2,airliner,ppn35,canoe,0
473,e9,t_background,6,speedboat,ppn35,canoe,0
473,e7,w_background,1,airliner,ppn35,canoe,0
473,e4,w_background,7,loudspeaker,ppn35,canoe,0
473,e1,w_background,4,airliner,ppn35,canoe,0
488,e8,a_background,7,cellulartelephone,ppn35,cellulartelephone,1
488,e5,a_background,3,cellulartelephone,ppn35,cellulartelephone,1
488,e2,a_background,9,cellulartelephone,ppn35,cellulartelephone,1
488,e6,t_background,6,cellulartelephone,ppn35,cellulartelephone,1
488,e3,t_background,5,cellulartelephone,ppn35,cellulartelephone,1
488,e9,t_background,2,cellulartelephone,ppn35,cellulartelephone,1
488,e1,w_background,4,cellulartelephone,ppn35,cellulartelephone,1
488,e4,w_background,8,cellulartelephone,ppn35,cellulartelephone,1
488,e7,w_background,1,laptop,ppn35,cellulartelephone,0
496,e2,a_background,5,parkbench,ppn35,chinacabinet,0
496,e5,a_background,6,rockingchair,ppn35,chinacabinet,0
496,e8,a_background,1,rockingchair,ppn35,chinacabinet,0
496,e9,t_background,4,tablelamp,ppn35,chinacabinet,0
496,e3,t_background,3,printer,ppn35,chinacabinet,0
496,e6,t_background,7,cellulartelephone,ppn35,chinacabinet,0
496,e7,w_background,9,chinacabinet,ppn35,chinacabinet,1
496,e4,w_background,2,chinacabinet,ppn35,chinacabinet,1
496,e1,w_background,8,chinacabinet,ppn35,chinacabinet,1
535,e8,a_background,2,laptop,ppn35,dishwasher,0
535,e2,a_background,4,bathtub,ppn35,dishwasher,0
535,e5,a_background,8,tablelamp,ppn35,dishwasher,0
535,e9,t_background,9,loudspeaker,ppn35,dishwasher,0
535,e3,t_background,6,birdhouse,ppn35,dishwasher,0
535,e6,t_background,1,rockingchair,ppn35,dishwasher,0
535,e1,w_background,7,dishwasher,ppn35,dishwasher,1
535,e4,w_background,5,dishwasher,ppn35,dishwasher,1
535,e7,w_background,3,screen,ppn35,dishwasher,0
580,e2,a_background,8,parkbench,ppn35,grandpiano,0
580,e8,a_background,2,cab,ppn35,grandpiano,0
580,e5,a_background,1,grandpiano,ppn35,grandpiano,1
580,e6,t_background,3,tablelamp,ppn35,grandpiano,0
580,e3,t_background,5,grandpiano,ppn35,grandpiano,1
580,e9,t_background,4,tablelamp,ppn35,grandpiano,0
580,e4,w_background,9,laptop,ppn35,grandpiano,0
