obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
403,e3,a_background,5,acousticguitar,ppn36,acousticguitar,1
403,e6,a_background,3,tablelamp,ppn36,acousticguitar,0
403,e9,a_background,8,schoolbus,ppn36,acousticguitar,0
403,e7,t_background,2,pirateship,ppn36,acousticguitar,0
403,e4,t_background,1,dishwasher,ppn36,acousticguitar,0
403,e1,t_background,6,acousticguitar,ppn36,acousticguitar,1
403,e5,w_background,4,pirateship,ppn36,acousticguitar,0
403,e8,w_background,9,acousticguitar,ppn36,acousticguitar,1
403,e2,w_background,7,cellulartelephone,ppn36,acousticguitar,0
405,e9,a_background,5,airliner,ppn36,airliner,1
405,e3,a_background,1,screen,ppn36,airliner,0
405,e6,a_background,2,pirateship,ppn36,airliner,0
405,e4,t_background,6,canoe,ppn36,airliner,0
405,e7,t_background,9,bathtub,ppn36,airliner,0
405,e1,t_background,4,remote,ppn36,airliner,0
405,e2,w_background,3,airliner,ppn36,airliner,1
405,e5,w_background,7,canoe,ppn36,airliner,0
405,e8,w_background,8,airliner,ppn36,airliner,1
436,e6,a_background,6,tablelamp,ppn36,bathtub,0
436,e9,a_background,5,pirateship,ppn36,bathtub,0
436,e3,a_background,3,bathtub,ppn36,bathtub,1
436,e1,t_background,2,mailbox,ppn36,bathtub,0
436,e7,t_background,9,birdhouse,ppn36,bathtub,0
436,e4,t_background,1,bathtub,ppn36,bathtub,1
436,e8,w_background,7,parkbench,ppn36,bathtub,0
436,e5,w_background,8,bathtub,ppn36,bathtub,1
436,e2,w_background,4,pirateship,ppn36,bathtub,0
449,e3,a_background,9,airliner,ppn36,birdhouse,0
449,e9,a_background,2,microwave,ppn36,birdhouse,0
449,e6,a_background,5,canoe,ppn36,birdhouse,0
449,e7,t_background,7,birdhouse,ppn36,birdhouse,1
449,e1,t_background,8,mailbox,ppn36,birdhouse,0
449,e4,t_background,4,microwave,ppn36,birdhouse,0
449,e8,w_background,1,birdhouse,ppn36,birdhouse,1
449,e2,w_background,6,birdhouse,ppn36,birdhouse,1
449,e5,w_background,3,limousine,ppn36,birdhouse,0
469,e3,a_background,7,grandpiano,ppn36,cab,0
469,e6,a_background,8,rockingchair,ppn36,cab,0
469,e9,a_background,6,cab,ppn36,cab,1
469,e4,t_background,1,cab,ppn36,cab,1
469,e7,t_background,5,birdhouse,ppn36,cab,0
469,e1,t_background,4,limousine,ppn36,cab,0
469,e2,w_background,3,cab,ppn36,cab,1
469,e8,w_background,2,sportscar,ppn36,cab,0
469,e5,w_background,9,cab,ppn36,cab,1
473,e9,a_background,6,screen,ppn36,canoe,0
473,e6,a_background,2,schoolbus,ppn36,canoe,0
473,e3,a_background,5,schoolbus,ppn36,canoe,0
473,e7,t_background,1,pirateship,ppn36,canoe,0
473,e1,t_background,4,acousticguitar,ppn36,canoe,0
473,e4,t_background,7,airliner,ppn36,canoe,0
473,e8,w_background,3,canoe,ppn36,canoe,1
473,e2,w_background,9,canoe,ppn36,canoe,1
473,e5,w_background,8,canoe,ppn36,canoe,1
488,e9,a_background,2,pirateship,ppn36,cellulartelephone,0
488,e3,a_background,5,cellulartelephone,ppn36,cellulartelephone,1
488,e6,a_background,6,microphone,ppn36,cellulartelephone,0
488,e1,t_background,4,screen,ppn36,cellulartelephone,0
488,e7,t_background,1,pirateship,ppn36,cellulartelephone,0
488,e4,t_background,8,bathtub,ppn36,cellulartelephone,0
488,e5,w_background,3,remote,ppn36,cellulartelephone,0
488,e8,w_background,7,cellulartelephone,ppn36,cellulartelephone,1
488,e2,w_background,9,cellulartelephone,ppn36,cellulartelephone,1
496,e9,a_background,4,birdhouse,ppn36,chinacabinet,0
496,e6,a_background,7,laptop,ppn36,chinacabinet,0
496,e3,a_background,3,limousine,ppn36,chinacabinet,0
496,e4,t_background,2,laptop,ppn36,chinacabinet,0
496,e7,t_background,9,mailbox,ppn36,chinacabinet,0
496,e1,t_background,8,loudspeaker,ppn36,chinacabinet,0
496,e8,w_background,1,chinacabinet,ppn36,chinacabinet,1
496,e5,w_background,6,remote,ppn36,chinacabinet,0
496,e2,w_background,5,chinacabinet,ppn36,chinacabinet,1
535,e3,a_background,6,printer,ppn36,dishwasher,0
535,e6,a_background,1,microwave,ppn36,dishwasher,0
535,e9,a_background,9,laptop,ppn36,dishwasher,0
535,e4,t_background,5,dishwasher,ppn36,dishwasher,1
535,e1,t_background,7,tablelamp,ppn36,dishwasher,0
535,e7,t_background,3,bathtub,ppn36,dishwasher,0
535,e2,w_background,4,printer,ppn36,dishwasher,0
535,e5,w_background,8,cellulartelephone,ppn36,dishwasher,0
535,e8,w_background,2,screen,ppn36,dishwasher,0
580,e6,a_background,3,pirateship,ppn36,grandpiano,0
580,e3,a_background,5,grandpiano,ppn36,grandpiano,1
580,e9,a_background,4,bathtub,ppn36,grandpiano,0
580,e1,t_background,7,mailbox,ppn36,grandpiano,0
580,e4,t_background,9,birdhouse,ppn36,grandpiano,0
580,e7,t_background,6,grandpiano,ppn36,grandpiano,1
580,e2,w_background,8,grandpiano,ppn36,grandpiano,1
580,e5,w_background,1,grandpiano,ppn36,grandpiano,1
580,e8,w_background,2,grandpiano,ppn36,grandpiano,1
621,e9,a_background,4,laptop,ppn36,laptop,1
621,e6,a_background,7,laptop,ppn36,laptop,1
621,e3,a_background,8,pirateship,ppn36,laptop,0
621,e4,t_background,5,laptop,ppn36,laptop,1
621,e1,t_background,3,airliner,ppn36,laptop,0
621,e7,t_background,2,laptop,ppn36,laptop,1
621,e5,w_background,1,laptop,ppn36,laptop,1
621,e2,w_background,9,pirateship,ppn36,laptop,0
621,e8,w_background,6,airliner,ppn36,laptop,0
628,e9,a_background,5,sportscar,ppn36,limousine,0
628,e6,a_background,1,airliner,ppn36,limousine,0
628,e3,a_background,3,printer,ppn36,limousine,0
628,e4,t_background,7,airliner,ppn36,limousine,0
628,e7,t_background,8,limousine,ppn36,limousine,1
628,e1,t_background,9,remote,ppn36,limousine,0
628,e8,w_background,4,sportscar,ppn36,limousine,0
628,e5,w_background,6,sportscar,ppn36,limousine,0
628,e2,w_background,2,sportscar,ppn36,limousine,0
633,e3,a_background,3,microphone,ppn36,loudspeaker,0
633,e9,a_background,6,pirateship,ppn36,loudspeaker,0
633,e6,a_background,2,tablelamp,ppn36,loudspeaker,0
633,e4,t_background,5,loudspeaker,ppn36,loudspeaker,1
633,e1,t_background,8,loudspeaker,ppn36,loudspeaker,1
633,e7,t_background,4,microwave,ppn36,loudspeaker,0
633,e8,w_background,9,loudspeaker,ppn36,loudspeaker,1
633,e5,w_background,7,canoe,ppn36,loudspeaker,0
633,e2,w_background,1,loudspeaker,ppn36,loudspeaker,1
