obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
403,e3,a_background,3,acousticguitar,ppn3,acousticguitar,1
403,e9,a_background,6,speedboat,ppn3,acousticguitar,0
403,e6,a_background,9,acousticguitar,ppn3,acousticguitar,1
403,e5,t_background,7,microphone,ppn3,acousticguitar,0
403,e8,t_background,5,acousticguitar,ppn3,acousticguitar,1
403,e2,t_background,4,schoolbus,ppn3,acousticguitar,0
403,e7,w_background,1,acousticguitar,ppn3,acousticguitar,1
403,e4,w_background,8,acousticguitar,ppn3,acousticguitar,1
403,e1,w_background,2,acousticguitar,ppn3,acousticguitar,1
405,e3,a_background,5,airliner,ppn3,airliner,1
405,e9,a_background,3,tablelamp,ppn3,airliner,0
405,e6,a_background,2,wallclock,ppn3,airliner,0
405,e8,t_background,9,airliner,ppn3,airliner,1
405,e5,t_background,7,remote,ppn3,airliner,0
405,e2,t_background,6,canoe,ppn3,airliner,0
405,e7,w_background,4,airliner,ppn3,airliner,1
405,e1,w_background,8,airliner,ppn3,airliner,1
405,e4,w_background,1,airliner,ppn3,airliner,1
436,e6,a_background,3,bathtub,ppn3,bathtub,1
436,e9,a_background,6,limousine,ppn3,bathtub,0
436,e3,a_background,4,canoe,ppn3,bathtub,0
436,e8,t_background,2,cab,ppn3,bathtub,0
436,e2,t_background,9,bathtub,ppn3,bathtub,1
436,e5,t_background,1,bathtub,ppn3,bathtub,1
436,e4,w_background,5,bathtub,ppn3,bathtub,1
436,e7,w_background,7,wallclock,ppn3,bathtub,0
436,e1,w_background,8,dishwasher,ppn3,bathtub,0
449,e9,a_background,1,schoolbus,ppn3,birdhouse,0
449,e6,a_background,8,chinacabinet,ppn3,birdhouse,0
449,e3,a_background,3,laptop,ppn3,birdhouse,0
449,e2,t_background,6,birdhouse,ppn3,birdhouse,1
449,e8,t_background,7,mailbox,ppn3,birdhouse,0
449,e5,t_background,5,birdhouse,ppn3,birdhouse,1
449,e4,w_background,4,birdhouse,ppn3,birdhouse,1
449,e7,w_background,9,wallclock,ppn3,birdhouse,0
449,e1,w_background,2,birdhouse,ppn3,birdhouse,1
469,e3,a_background,6,schoolbus,ppn3,cab,0
469,e6,a_background,2,cab,ppn3,cab,1
469,e9,a_background,7,cab,ppn3,cab,1
469,e8,t_background,1,cab,ppn3,cab,1
469,e5,t_background,9,cab,ppn3,cab,1
469,e2,t_background,5,cab,ppn3,cab,1
469,e4,w_background,8,cab,ppn3,cab,1
469,e1,w_background,4,cab,ppn3,cab,1
469,e7,w_background,3,sportscar,ppn3,cab,0
473,e9,a_background,1,grandpiano,ppn3,canoe,0
473,e6,a_background,8,speedboat,ppn3,canoe,0
473,e3,a_background,6,rockingchair,ppn3,canoe,0
473,e8,t_background,5,speedboat,ppn3,canoe,0
473,e5,t_background,4,canoe,ppn3,canoe,1
473,e2,t_background,7,speedboat,ppn3,canoe,0
473,e1,w_background,2,airliner,ppn3,canoe,0
473,e4,w_background,3,speedboat,ppn3,canoe,0
473,e7,w_background,9,limousine,ppn3,canoe,0
488,e3,a_background,2,cellulartelephone,ppn3,cellulartelephone,1
488,e9,a_background,1,cellulartelephone,ppn3,cellulartelephone,1
488,e6,a_background,3,chinacabinet,ppn3,cellulartelephone,0
488,e2,t_background,5,remote,ppn3,cellulartelephone,0
488,e5,t_background,8,cellulartelephone,ppn3,cellulartelephone,1
488,e8,t_background,7,printer,ppn3,cellulartelephone,0
488,e4,w_background,9,cellulartelephone,ppn3,cellulartelephone,1
488,e7,w_background,6,loudspeaker,ppn3,cellulartelephone,0
488,e1,w_background,4,cellulartelephone,ppn3,cellulartelephone,1
496,e6,a_background,9,limousine,ppn3,chinacabinet,0
496,e9,a_background,6,rockingchair,ppn3,chinacabinet,0
496,e3,a_background,1,screen,ppn3,chinacabinet,0
496,e5,t_background,8,cab,ppn3,chinacabinet,0
496,e8,t_background,4,wallclock,ppn3,chinacabinet,0
496,e2,t_background,2,sportscar,ppn3,chinacabinet,0
496,e4,w_background,7,chinacabinet,ppn3,chinacabinet,1
496,e7,w_background,3,chinacabinet,ppn3,chinacabinet,1
535,e9,a_background,2,canoe,ppn3,dishwasher,0
535,e6,a_background,3,bathtub,ppn3,dishwasher,0
535,e3,a_background,8,cab,ppn3,dishwasher,0
535,e5,t_background,5,microwave,ppn3,dishwasher,0
535,e8,t_background,4,acousticguitar,ppn3,dishwasher,0
535,e2,t_background,7,dishwasher,ppn3,dishwasher,1
535,e4,w_background,1,microwave,ppn3,dishwasher,0
535,e1,w_background,9,wallclock,ppn3,dishwasher,0
535,e7,w_background,6,birdhouse,ppn3,dishwasher,0
580,e3,a_background,8,bathtub,ppn3,grandpiano,0
580,e9,a_background,9,loudspeaker,ppn3,grandpiano,0
580,e6,a_background,6,grandpiano,ppn3,grandpiano,1
580,e2,t_background,3,wallclock,ppn3,grandpiano,0
580,e8,t_background,2,remote,ppn3,grandpiano,0
580,e5,t_background,1,rockingchair,ppn3,grandpiano,0
580,e4,w_background,7,rockingchair,ppn3,grandpiano,0
580,e1,w_background,4,grandpiano,ppn3,grandpiano,1
580,e7,w_background,5,grandpiano,ppn3,grandpiano,1
621,e6,a_background,7,laptop,ppn3,laptop,1
621,e9,a_background,4,laptop,ppn3,laptop,1
621,e3,a_background,6,screen,ppn3,laptop,0
621,e5,t_background,3,laptop,ppn3,laptop,1
621,e2,t_background,5,cellulartelephone,ppn3,laptop,0
621,e8,t_background,2,printer,ppn3,laptop,0
621,e7,w_background,9,laptop,ppn3,laptop,1
621,e4,w_background,8,laptop,ppn3,laptop,1
621,e1,w_background,1,laptop,ppn3,limousine,0
628,e9,a_background,4,limousine,ppn3,limousine,1
628,e6,a_background,3,tablelamp,ppn3,limousine,0
628,e3,a_background,6,limousine,ppn3,limousine,1
628,e8,t_background,5,limousine,ppn3,limousine,1
628,e2,t_background,7,limousine,ppn3,limousine,1
628,e5,t_background,9,schoolbus,ppn3,limousine,0
628,e1,w_background,2,limousine,ppn3,limousine,1
628,e4,w_background,1,limousine,ppn3,limousine,1
628,e7,w_background,8,limousine,ppn3,loudspeaker,0
633,e3,a_background,1,limousine,ppn3,loudspeaker,0
633,e9,a_background,8,canoe,ppn3,loudspeaker,0
633,e6,a_background,7,microwave,ppn3,loudspeaker,0
633,e2,t_background,6,loudspeaker,ppn3,loudspeaker,1
633,e5,t_background,3,printer,ppn3,loudspeaker,0
633,e8,t_background,9,grandpiano,ppn3,loudspeaker,0
633,e7,w_background,4,loudspeaker,ppn3,loudspeaker,1
