obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
403,e1,t_background,7,acousticguitar,ppn16,acousticguitar,1
403,e2,a_background,8,cellulartelephone,ppn16,acousticguitar,0
403,e3,w_background,9,acousticguitar,ppn16,acousticguitar,1
403,e4,t_background,1,pirateship,ppn16,acousticguitar,0
403,e5,a_background,6,wallclock,ppn16,acousticguitar,0
403,e6,w_background,3,acousticguitar,ppn16,acousticguitar,1
403,e7,t_background,5,acousticguitar,ppn16,acousticguitar,1
403,e8,a_background,4,pirateship,ppn16,acousticguitar,0
403,e9,w_background,2,acousticguitar,ppn16,acousticguitar,1
405,e1,t_background,9,airliner,ppn16,airliner,1
405,e2,a_background,2,tablelamp,ppn16,airliner,0
405,e3,w_background,5,airliner,ppn16,airliner,1
405,e4,t_background,4,airliner,ppn16,airliner,1
405,e5,a_background,8,printer,ppn16,airliner,0
405,e6,w_background,6,airliner,ppn16,airliner,1
405,e7,t_background,1,airliner,ppn16,airliner,1
405,e8,a_background,3,screen,ppn16,airliner,0
405,e9,w_background,7,airliner,ppn16,airliner,1
436,e1,t_background,8,bathtub,ppn16,bathtub,1
436,e2,a_background,5,bathtub,ppn16,bathtub,1
436,e3,w_background,7,canoe,ppn16,bathtub,0
436,e4,t_background,1,bathtub,ppn16,bathtub,1
436,e5,a_background,9,loudspeaker,ppn16,bathtub,0
436,e6,w_background,4,wallclock,ppn16,bathtub,0
436,e7,t_background,2,bathtub,ppn16,bathtub,1
436,e8,a_background,6,chinacabinet,ppn16,bathtub,0
436,e9,w_background,3,dishwasher,ppn16,bathtub,0
449,e1,t_background,5,birdhouse,ppn16,birdhouse,1
449,e2,a_background,3,birdhouse,ppn16,birdhouse,1
449,e3,w_background,7,birdhouse,ppn16,birdhouse,1
449,e4,t_background,8,cab,ppn16,birdhouse,0
449,e5,a_background,6,birdhouse,ppn16,birdhouse,1
449,e6,w_background,9,birdhouse,ppn16,birdhouse,1
449,e7,t_background,2,birdhouse,ppn16,birdhouse,1
449,e8,a_background,4,birdhouse,ppn16,birdhouse,1
449,e9,w_background,1,birdhouse,ppn16,birdhouse,1
469,e1,t_background,9,schoolbus,ppn16,cab,0
469,e2,a_background,1,wallclock,ppn16,cab,0
469,e3,w_background,6,cab,ppn16,cab,1
469,e4,t_background,7,wallclock,ppn16,cab,0
469,e5,a_background,3,cab,ppn16,cab,1
469,e6,w_background,2,cab,ppn16,cab,1
469,e7,t_background,8,sportscar,ppn16,cab,0
469,e8,a_background,5,cab,ppn16,cab,1
469,e9,w_background,4,cab,ppn16,cab,1
473,e1,t_background,4,mailbox,ppn16,canoe,0
473,e2,a_background,2,bathtub,ppn16,canoe,0
473,e3,w_background,6,sportscar,ppn16,canoe,0
473,e4,t_background,9,parkbench,ppn16,canoe,0
473,e5,a_background,8,microphone,ppn16,canoe,0
473,e6,w_background,7,cellulartelephone,ppn16,canoe,0
473,e7,t_background,5,cellulartelephone,ppn16,canoe,0
473,e8,a_background,3,tablelamp,ppn16,canoe,0
473,e9,w_background,1,cab,ppn16,canoe,0
488,e1,t_background,8,screen,ppn16,cellulartelephone,0
488,e2,a_background,6,mailbox,ppn16,cellulartelephone,0
488,e3,w_background,9,cellulartelephone,ppn16,cellulartelephone,1
488,e4,t_background,4,rockingchair,ppn16,cellulartelephone,0
488,e5,a_background,2,cellulartelephone,ppn16,cellulartelephone,1
488,e6,w_background,1,cellulartelephone,ppn16,cellulartelephone,1
488,e7,t_background,7,remote,ppn16,cellulartelephone,0
488,e8,a_background,5,cellulartelephone,ppn16,cellulartelephone,1
488,e9,w_background,3,cellulartelephone,ppn16,cellulartelephone,1
496,e1,t_background,3,chinacabinet,ppn16,chinacabinet,1
496,e2,a_background,1,chinacabinet,ppn16,chinacabinet,1
496,e3,w_background,7,dishwasher,ppn16,chinacabinet,0
496,e4,t_background,4,rockingchair,ppn16,chinacabinet,0
496,e5,a_background,9,airliner,ppn16,chinacabinet,0
496,e6,w_background,6,chinacabinet,ppn16,chinacabinet,1
496,e7,t_background,8,wallclock,ppn16,chinacabinet,0
496,e8,a_background,5,chinacabinet,ppn16,chinacabinet,1
496,e9,w_background,2,chinacabinet,ppn16,chinacabinet,1
535,e1,t_background,7,screen,ppn16,dishwasher,0
535,e2,a_background,1,chinacabinet,ppn16,dishwasher,0
535,e3,w_background,4,dishwasher,ppn16,dishwasher,1
535,e4,t_background,2,microwave,ppn16,dishwasher,0
535,e5,a_background,8,printer,ppn16,dishwasher,0
535,e6,w_background,9,mailbox,ppn16,dishwasher,0
535,e7,t_background,5,microphone,ppn16,dishwasher,0
535,e8,a_background,3,birdhouse,ppn16,dishwasher,0
535,e9,w_background,6,wallclock,ppn16,dishwasher,0
580,e1,t_background,5,grandpiano,ppn16,grandpiano,1
580,e2,a_background,3,grandpiano,ppn16,grandpiano,1
580,e3,w_background,7,grandpiano,ppn16,grandpiano,1
580,e4,t_background,1,grandpiano,ppn16,grandpiano,1
580,e5,a_background,9,microphone,ppn16,grandpiano,0
580,e6,w_background,8,grandpiano,ppn16,grandpiano,1
580,e7,t_background,2,grandpiano,ppn16,grandpiano,1
580,e8,a_background,6,canoe,ppn16,grandpiano,0
580,e9,w_background,4,grandpiano,ppn16,grandpiano,1
621,e1,t_background,3,screen,ppn16,laptop,0
621,e2,a_background,9,tablelamp,ppn16,laptop,0
621,e3,w_background,5,laptop,ppn16,laptop,1
621,e4,t_background,7,screen,ppn16,laptop,0
621,e5,a_background,4,laptop,ppn16,laptop,1
621,e6,w_background,6,laptop,ppn16,laptop,1
621,e7,t_background,2,laptop,ppn16,laptop,1
621,e8,a_background,1,birdhouse,ppn16,laptop,0
621,e9,w_background,8,laptop,ppn16,laptop,1
628,e1,t_background,6,sportscar,ppn16,limousine,0
628,e2,a_background,1,sportscar,ppn16,limousine,0
628,e3,w_background,9,sportscar,ppn16,limousine,0
628,e4,t_background,5,sportscar,ppn16,limousine,0
628,e5,a_background,3,sportscar,ppn16,limousine,0
628,e6,w_background,2,cab,ppn16,limousine,0
