obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
403,e9,a_background,8,dishwasher,ppn34,acousticguitar,0
403,e6,a_background,3,acousticguitar,ppn34,acousticguitar,1
403,e3,a_background,5,acousticguitar,ppn34,acousticguitar,1
403,e2,t_background,7,chinacabinet,ppn34,acousticguitar,0
403,e5,t_background,4,mailbox,ppn34,acousticguitar,0
403,e8,t_background,9,acousticguitar,ppn34,acousticguitar,1
403,e1,w_background,6,acousticguitar,ppn34,acousticguitar,1
403,e7,w_background,2,acousticguitar,ppn34,acousticguitar,1
403,e4,w_background,1,acousticguitar,ppn34,acousticguitar,1
405,e6,a_background,2,loudspeaker,ppn34,airliner,0
405,e9,a_background,5,tablelamp,ppn34,airliner,0
405,e3,a_background,1,airliner,ppn34,airliner,1
405,e2,t_background,3,airliner,ppn34,airliner,1
405,e8,t_background,8,speedboat,ppn34,airliner,0
405,e5,t_background,7,airliner,ppn34,airliner,1
405,e7,w_background,9,airliner,ppn34,airliner,1
405,e1,w_background,4,airliner,ppn34,airliner,1
405,e4,w_background,6,airliner,ppn34,airliner,1
436,e6,a_background,6,microwave,ppn34,bathtub,0
436,e9,a_background,5,bathtub,ppn34,bathtub,1
436,e3,a_background,3,sportscar,ppn34,bathtub,0
436,e8,t_background,7,bathtub,ppn34,bathtub,1
436,e5,t_background,8,bathtub,ppn34,bathtub,1
436,e2,t_background,4,bathtub,ppn34,bathtub,1
436,e4,w_background,1,bathtub,ppn34,bathtub,1
436,e1,w_background,2,laptop,ppn34,bathtub,0
436,e7,w_background,9,bathtub,ppn34,bathtub,1
449,e6,a_background,5,grandpiano,ppn34,birdhouse,0
449,e9,a_background,2,loudspeaker,ppn34,birdhouse,0
449,e3,a_background,9,canoe,ppn34,birdhouse,0
449,e2,t_background,6,birdhouse,ppn34,birdhouse,1
449,e8,t_background,1,canoe,ppn34,birdhouse,0
449,e5,t_background,3,cellulartelephone,ppn34,birdhouse,0
449,e4,w_background,4,birdhouse,ppn34,birdhouse,1
449,e7,w_background,7,birdhouse,ppn34,birdhouse,1
449,e1,w_background,8,birdhouse,ppn34,birdhouse,1
469,e9,a_background,6,cab,ppn34,cab,1
469,e6,a_background,8,chinacabinet,ppn34,cab,0
469,e3,a_background,7,tablelamp,ppn34,cab,0
469,e2,t_background,3,cab,ppn34,cab,1
469,e8,t_background,2,cab,ppn34,cab,1
