obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
403,e9,a_background,5,acousticguitar,ppn38,acousticguitar,1
403,e6,a_background,2,wallclock,ppn38,acousticguitar,0
403,e3,a_background,9,acousticguitar,ppn38,acousticguitar,1
403,e5,t_background,7,wallclock,ppn38,acousticguitar,0
403,e2,t_background,8,tablelamp,ppn38,acousticguitar,0
403,e8,t_background,4,printer,ppn38,acousticguitar,0
403,e4,w_background,3,acousticguitar,ppn38,acousticguitar,1
403,e1,w_background,6,acousticguitar,ppn38,acousticguitar,1
403,e7,w_background,1,acousticguitar,ppn38,acousticguitar,1
405,e9,a_background,8,speedboat,ppn38,airliner,0
405,e3,a_background,4,airliner,ppn38,airliner,1
405,e6,a_background,1,tablelamp,ppn38,airliner,0
405,e2,t_background,7,speedboat,ppn38,airliner,0
405,e5,t_background,5,airliner,ppn38,airliner,1
405,e8,t_background,2,airliner,ppn38,airliner,1
405,e7,w_background,9,airliner,ppn38,airliner,1
405,e4,w_background,6,airliner,ppn38,airliner,1
405,e1,w_background,3,airliner,ppn38,airliner,1
436,e6,a_background,7,tablelamp,ppn38,bathtub,0
436,e9,a_background,4,bathtub,ppn38,bathtub,1
436,e3,a_background,1,dishwasher,ppn38,bathtub,0
436,e5,t_background,6,cab,ppn38,bathtub,0
436,e2,t_background,5,tablelamp,ppn38,bathtub,0
436,e8,t_background,8,cab,ppn38,bathtub,0
436,e7,w_background,9,bathtub,ppn38,bathtub,1
436,e4,w_background,2,bathtub,ppn38,bathtub,1
436,e1,w_background,3,dishwasher,ppn38,bathtub,0
449,e6,a_background,8,birdhouse,ppn38,birdhouse,1
449,e9,a_background,1,loudspeaker,ppn38,birdhouse,0
449,e3,a_background,2,birdhouse,ppn38,birdhouse,1
449,e8,t_background,6,printer,ppn38,birdhouse,0
449,e5,t_background,4,chinacabinet,ppn38,birdhouse,0
449,e2,t_background,3,birdhouse,ppn38,birdhouse,1
449,e7,w_background,5,birdhouse,ppn38,birdhouse,1
449,e1,w_background,9,birdhouse,ppn38,birdhouse,1
449,e4,w_background,7,birdhouse,ppn38,birdhouse,1
469,e6,a_background,6,cab,ppn38,cab,1
469,e3,a_background,7,screen,ppn38,cab,0
469,e9,a_background,2,cab,ppn38,cab,1
469,e2,t_background,3,cab,ppn38,cab,1
469,e5,t_background,4,cab,ppn38,cab,1
469,e8,t_background,8,cab,ppn38,cab,1
469,e4,w_background,9,cab,ppn38,cab,1
