obj_code,exemplar,background,location_index,shuffle,clicked,participant,correct_answer,corr_count
633,e7,a_background,8,0.0742889909,dishwasher,ppn17,loudspeaker,0
633,e5,w_background,5,0.339238838,loudspeaker,ppn17,loudspeaker,1
633,e1,a_background,7,0.4690094834,loudspeaker,ppn17,loudspeaker,1
633,e9,t_background,1,0.5648476815,sportscar,ppn17,loudspeaker,0
633,e8,w_background,4,0.6197483395,loudspeaker,ppn17,loudspeaker,1
633,e6,t_background,6,0.8231151975,screen,ppn17,loudspeaker,0
633,e3,t_background,2,0.8549909182,loudspeaker,ppn17,loudspeaker,1
633,e2,w_background,9,0.8778799743,loudspeaker,ppn17,loudspeaker,1
638,e9,t_background,6,0.0990541974,mailbox,ppn17,mailbox,1
638,e1,a_background,3,0.3851052902,dishwasher,ppn17,mailbox,0
638,e7,a_background,9,0.4100660275,mailbox,ppn17,mailbox,1
638,e8,w_background,4,0.4338053799,mailbox,ppn17,mailbox,1
638,e3,t_background,5,0.6384311398,mailbox,ppn17,mailbox,1
638,e2,w_background,2,0.6784204749,cab,ppn17,mailbox,0
638,e5,w_background,7,0.691655675,speedboat,ppn17,mailbox,0
638,e4,a_background,8,0.8036926945,mailbox,ppn17,mailbox,1
638,e6,t_background,1,0.9757576568,acousticguitar,ppn17,mailbox,0
651,e5,w_background,5,0.1115243335,microphone,ppn17,microphone,1
651,e3,t_background,9,0.1627008115,microwave,ppn17,microphone,0
651,e7,a_background,7,0.1728519656,parkbench,ppn17,microphone,0
651,e1,a_background,3,0.3287056628,parkbench,ppn17,microphone,0
651,e4,a_background,6,0.6164138367,birdhouse,ppn17,microphone,0
651,e9,t_background,8,0.6505578374,microphone,ppn17,microphone,1
651,e6,t_background,4,0.6826908951,screen,ppn17,microphone,0
651,e2,w_background,2,0.7441256166,acousticguitar,ppn17,microphone,0
651,e8,w_background,1,0.9378090444,remote,ppn17,microphone,0
652,e4,a_background,2,0.1779848496,microwave,ppn17,microwave,1
652,e9,t_background,1,0.2261266031,screen,ppn17,microwave,0
652,e3,t_background,4,0.387534766,laptop,ppn17,microwave,0
652,e1,a_background,3,0.4005559179,limousine,ppn17,microwave,0
652,e6,t_background,6,0.4590002311,microwave,ppn17,microwave,1
652,e5,w_background,5,0.6465448686,microwave,ppn17,microwave,1
652,e8,w_background,9,0.680528821,dishwasher,ppn17,microwave,0
652,e2,w_background,8,0.8263759856,microwave,ppn17,microwave,1
652,e7,a_background,7,0.9076822487,printer,ppn17,microwave,0
704,e5,w_background,6,0.0819688793,speedboat,ppn17,parkbench,0
704,e9,t_background,7,0.1254299893,parkbench,ppn17,parkbench,1
704,e4,a_background,2,0.1458910433,printer,ppn17,parkbench,0
704,e7,a_background,1,0.1883012631,wallclock,ppn17,parkbench,0
704,e8,w_background,9,0.2375669365,parkbench,ppn17,parkbench,1
704,e6,t_background,8,0.8119924831,pirateship,ppn17,parkbench,0
704,e3,t_background,3,0.8180215508,canoe,ppn17,parkbench,0
704,e1,a_background,4,0.823318552,loudspeaker,ppn17,parkbench,0
704,e2,w_background,5,0.9117562424,sportscar,ppn17,parkbench,0
725,e5,w_background,2,0.0694181304,pirateship,ppn17,pirateship,1
725,e7,a_background,6,0.4548190996,cellulartelephone,ppn17,pirateship,0
725,e9,t_background,4,0.5622872462,canoe,ppn17,pirateship,0
725,e3,t_background,7,0.5811108039,pirateship,ppn17,pirateship,1
725,e1,a_background,8,0.6342050193,wallclock,ppn17,pirateship,0
725,e2,w_background,5,0.6959047897,pirateship,ppn17,pirateship,1
725,e8,w_background,3,0.827088272,pirateship,ppn17,pirateship,1
725,e4,a_background,9,0.8447720448,rockingchair,ppn17,pirateship,0
725,e6,t_background,1,0.8486169258,pirateship,ppn17,pirateship,1
743,e7,a_background,5,0.0179838623,canoe,ppn17,printer,0
743,e3,t_background,9,0.1702909204,tablelamp,ppn17,printer,0
743,e2,w_background,7,0.1748308785,printer,ppn17,printer,1
743,e8,w_background,1,0.2983086244,dishwasher,ppn17,printer,0
743,e6,t_background,8,0.6696368632,screen,ppn17,printer,0
