obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
403,e5,a_background,7,bathtub,ppn4,acousticguitar,0
403,e2,a_background,4,speedboat,ppn4,acousticguitar,0
403,e8,a_background,5,speedboat,ppn4,acousticguitar,0
403,e4,t_background,8,pirateship,ppn4,acousticguitar,0
403,e1,t_background,2,acousticguitar,ppn4,acousticguitar,1
403,e7,t_background,1,acousticguitar,ppn4,acousticguitar,1
403,e6,w_background,9,acousticguitar,ppn4,acousticguitar,1
403,e3,w_background,3,acousticguitar,ppn4,acousticguitar,1
403,e9,w_background,6,acousticguitar,ppn4,acousticguitar,1
405,e2,a_background,6,wallclock,ppn4,airliner,0
405,e8,a_background,9,tablelamp,ppn4,airliner,0
405,e5,a_background,7,wallclock,ppn4,airliner,0
405,e4,t_background,1,airliner,ppn4,airliner,1
405,e1,t_background,8,speedboat,ppn4,airliner,0
405,e7,t_background,4,airliner,ppn4,airliner,1
405,e9,w_background,3,canoe,ppn4,airliner,0
405,e6,w_background,2,canoe,ppn4,airliner,0
405,e3,w_background,5,airliner,ppn4,airliner,1
436,e8,a_background,2,canoe,ppn4,bathtub,0
436,e5,a_background,1,grandpiano,ppn4,bathtub,0
436,e2,a_background,9,canoe,ppn4,bathtub,0
436,e7,t_background,7,bathtub,ppn4,bathtub,1
436,e1,t_background,8,wallclock,ppn4,bathtub,0
436,e4,t_background,5,bathtub,ppn4,bathtub,1
436,e9,w_background,6,speedboat,ppn4,bathtub,0
436,e3,w_background,4,grandpiano,ppn4,bathtub,0
436,e6,w_background,3,remote,ppn4,bathtub,0
449,e8,a_background,7,tablelamp,ppn4,birdhouse,0
449,e2,a_background,6,birdhouse,ppn4,birdhouse,1
449,e5,a_background,5,birdhouse,ppn4,birdhouse,1
449,e1,t_background,2,birdhouse,ppn4,birdhouse,1
449,e4,t_background,4,birdhouse,ppn4,birdhouse,1
449,e7,t_background,9,birdhouse,ppn4,birdhouse,1
449,e9,w_background,1,mailbox,ppn4,birdhouse,0
449,e6,w_background,8,chinacabinet,ppn4,birdhouse,0
449,e3,w_background,3,birdhouse,ppn4,birdhouse,1
469,e8,a_background,1,sportscar,ppn4,cab,0
469,e2,a_background,5,cab,ppn4,cab,1
469,e5,a_background,9,cab,ppn4,cab,1
469,e7,t_background,3,sportscar,ppn4,cab,0
469,e1,t_background,4,birdhouse,ppn4,cab,0
469,e4,t_background,8,cab,ppn4,cab,1
469,e3,w_background,6,cab,ppn4,cab,1
469,e6,w_background,2,cab,ppn4,cab,1
469,e9,w_background,7,cab,ppn4,cab,1
473,e2,a_background,7,wallclock,ppn4,canoe,0
473,e5,a_background,4,remote,ppn4,canoe,0
473,e8,a_background,5,airliner,ppn4,canoe,0
473,e7,t_background,9,canoe,ppn4,canoe,1
473,e4,t_background,3,canoe,ppn4,canoe,1
473,e1,t_background,2,airliner,ppn4,canoe,0
473,e9,w_background,1,cab,ppn4,canoe,0
473,e6,w_background,8,airliner,ppn4,canoe,0
473,e3,w_background,6,sportscar,ppn4,canoe,0
488,e8,a_background,7,cellulartelephone,ppn4,cellulartelephone,1
488,e2,a_background,5,remote,ppn4,cellulartelephone,0
488,e5,a_background,8,cellulartelephone,ppn4,cellulartelephone,1
488,e4,t_background,9,wallclock,ppn4,cellulartelephone,0
488,e1,t_background,4,cellulartelephone,ppn4,cellulartelephone,1
488,e7,t_background,6,loudspeaker,ppn4,cellulartelephone,0
488,e9,w_background,1,cellulartelephone,ppn4,cellulartelephone,1
488,e6,w_background,3,cellulartelephone,ppn4,cellulartelephone,1
488,e3,w_background,2,cellulartelephone,ppn4,cellulartelephone,1
496,e2,a_background,2,chinacabinet,ppn4,chinacabinet,1
496,e5,a_background,8,loudspeaker,ppn4,chinacabinet,0
496,e8,a_background,4,chinacabinet,ppn4,chinacabinet,1
496,e7,t_background,3,tablelamp,ppn4,chinacabinet,0
496,e1,t_background,5,chinacabinet,ppn4,chinacabinet,1
496,e4,t_background,7,chinacabinet,ppn4,chinacabinet,1
496,e9,w_background,6,loudspeaker,ppn4,chinacabinet,0
496,e6,w_background,9,chinacabinet,ppn4,chinacabinet,1
496,e3,w_background,1,chinacabinet,ppn4,chinacabinet,1
535,e8,a_background,4,loudspeaker,ppn4,dishwasher,0
535,e2,a_background,7,screen,ppn4,dishwasher,0
535,e5,a_background,5,birdhouse,ppn4,dishwasher,0
535,e7,t_background,6,acousticguitar,ppn4,dishwasher,0
535,e4,t_background,1,laptop,ppn4,dishwasher,0
535,e1,t_background,9,dishwasher,ppn4,dishwasher,1
535,e3,w_background,8,dishwasher,ppn4,dishwasher,1
535,e9,w_background,2,loudspeaker,ppn4,dishwasher,0
535,e6,w_background,3,laptop,ppn4,dishwasher,0
580,e5,a_background,1,cab,ppn4,grandpiano,0
580,e2,a_background,3,grandpiano,ppn4,grandpiano,1
580,e8,a_background,2,canoe,ppn4,grandpiano,0
580,e7,t_background,5,airliner,ppn4,grandpiano,0
580,e1,t_background,4,tablelamp,ppn4,grandpiano,0
580,e4,t_background,7,grandpiano,ppn4,grandpiano,1
580,e9,w_background,9,grandpiano,ppn4,grandpiano,1
580,e3,w_background,8,grandpiano,ppn4,grandpiano,1
580,e6,w_background,6,grandpiano,ppn4,grandpiano,1
621,e5,a_background,3,screen,ppn4,laptop,0
621,e2,a_background,5,laptop,ppn4,laptop,1
621,e8,a_background,2,screen,ppn4,laptop,0
621,e4,t_background,8,laptop,ppn4,laptop,1
621,e1,t_background,1,laptop,ppn4,laptop,1
621,e7,t_background,9,laptop,ppn4,laptop,1
621,e3,w_background,6,laptop,ppn4,laptop,1
621,e6,w_background,7,laptop,ppn4,laptop,1
621,e9,w_background,4,laptop,ppn4,laptop,1
628,e2,a_background,7,cellulartelephone,ppn4,limousine,0
628,e5,a_background,9,sportscar,ppn4,limousine,0
628,e8,a_background,5,sportscar,ppn4,limousine,0
628,e7,t_background,8,sportscar,ppn4,limousine,0
628,e1,t_background,2,sportscar,ppn4,limousine,0
628,e4,t_background,1,pirateship,ppn4,limousine,0
628,e6,w_background,3,sportscar,ppn4,limousine,0
628,e3,w_background,6,limousine,ppn4,limousine,1
628,e9,w_background,4,limousine,ppn4,limousine,1
633,e8,a_background,9,loudspeaker,ppn4,loudspeaker,1
633,e2,a_background,6,loudspeaker,ppn4,loudspeaker,1
633,e5,a_background,3,loudspeaker,ppn4,loudspeaker,1
633,e7,t_background,4,loudspeaker,ppn4,loudspeaker,1
633,e1,t_background,5,loudspeaker,ppn4,loudspeaker,1
633,e4,t_background,2,loudspeaker,ppn4,loudspeaker,1
633,e6,w_background,7,loudspeaker,ppn4,loudspeaker,1
633,e9,w_background,8,loudspeaker,ppn4,loudspeaker,1
638,e2,a_background,9,canoe,ppn4,mailbox,0
638,e8,a_background,5,mailbox,ppn4,mailbox,1
638,e5,a_background,3,mailbox,ppn4,mailbox,1
638,e7,t_background,7,mailbox,ppn4,mailbox,1
638,e4,t_background,4,mailbox,ppn4,mailbox,1
638,e1,t_background,2,screen,ppn4,mailbox,0
638,e3,w_background,6,birdhouse,ppn4,mailbox,0
638,e9,w_background,1,tablelamp,ppn4,mailbox,0
638,e6,w_background,8,mailbox,ppn4,mailbox,1
651,e8,a_background,9,speedboat,ppn4,microphone,0
651,e2,a_background,3,birdhouse,ppn4,microphone,0
651,e5,a_background,4,airliner,ppn4,microphone,0
651,e1,t_background,6,limousine,ppn4,microphone,0
651,e4,t_background,7,screen,ppn4,microphone,0
651,e7,t_background,2,wallclock,ppn4,microphone,0
651,e9,w_background,5,remote,ppn4,microphone,0
651,e6,w_background,8,loudspeaker,ppn4,microphone,0
651,e3,w_background,1,microphone,ppn4,microphone,1
652,e2,a_background,6,grandpiano,ppn4,microwave,0
652,e8,a_background,5,microwave,ppn4,microwave,1
652,e5,a_background,4,microwave,ppn4,microwave,1
652,e7,t_background,8,rockingchair,ppn4,microwave,0
652,e4,t_background,9,microwave,ppn4,microwave,1
652,e1,t_background,1,loudspeaker,ppn4,microwave,0
652,e6,w_background,3,airliner,ppn4,microwave,0
652,e3,w_background,7,printer,ppn4,microwave,0
652,e9,w_background,2,microwave,ppn4,microwave,1
704,e2,a_background,8,microphone,ppn4,parkbench,0
704,e5,a_background,5,wallclock,ppn4,parkbench,0
704,e8,a_background,4,canoe,ppn4,parkbench,0
704,e1,t_background,1,mailbox,ppn4,parkbench,0
704,e4,t_background,3,screen,ppn4,parkbench,0
704,e7,t_background,6,parkbench,ppn4,parkbench,1
704,e3,w_background,9,parkbench,ppn4,parkbench,1
704,e6,w_background,7,canoe,ppn4,parkbench,0
704,e9,w_background,2,parkbench,ppn4,parkbench,1
725,e8,a_background,2,pirateship,ppn4,pirateship,1
725,e5,a_background,6,tablelamp,ppn4,pirateship,0
725,e2,a_background,3,wallclock,ppn4,pirateship,0
725,e1,t_background,9,canoe,ppn4,pirateship,0
725,e7,t_background,8,pirateship,ppn4,pirateship,1
