obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
403,e9,a_background,5,acousticguitar,ppn40,acousticguitar,1
403,e6,a_background,2,wallclock,ppn40,acousticguitar,0
403,e3,a_background,9,acousticguitar,ppn40,acousticguitar,1
403,e7,t_background,1,acousticguitar,ppn40,acousticguitar,1
403,e4,t_background,3,cellulartelephone,ppn40,acousticguitar,0
403,e1,t_background,6,acousticguitar,ppn40,acousticguitar,1
403,e2,w_background,8,acousticguitar,ppn40,acousticguitar,1
403,e8,w_background,4,acousticguitar,ppn40,acousticguitar,1
403,e5,w_background,7,acousticguitar,ppn40,acousticguitar,1
405,e3,a_background,4,remote,ppn40,airliner,0
405,e6,a_background,1,chinacabinet,ppn40,airliner,0
405,e9,a_background,8,airliner,ppn40,airliner,1
405,e4,t_background,6,airliner,ppn40,airliner,1
405,e7,t_background,9,loudspeaker,ppn40,airliner,0
405,e1,t_background,3,airliner,ppn40,airliner,1
405,e8,w_background,2,airliner,ppn40,airliner,1
405,e2,w_background,7,airliner,ppn40,airliner,1
405,e5,w_background,5,airliner,ppn40,airliner,1
436,e3,a_background,1,speedboat,ppn40,bathtub,0
436,e6,a_background,7,bathtub,ppn40,bathtub,1
436,e9,a_background,4,cellulartelephone,ppn40,bathtub,0
436,e7,t_background,9,bathtub,ppn40,bathtub,1
436,e1,t_background,3,wallclock,ppn40,bathtub,0
436,e4,t_background,2,bathtub,ppn40,bathtub,1
436,e5,w_background,6,bathtub,ppn40,bathtub,1
436,e2,w_background,5,canoe,ppn40,bathtub,0
436,e8,w_background,8,bathtub,ppn40,bathtub,1
449,e6,a_background,8,pirateship,ppn40,birdhouse,0
449,e9,a_background,1,mailbox,ppn40,birdhouse,0
449,e3,a_background,2,birdhouse,ppn40,birdhouse,1
449,e7,t_background,5,birdhouse,ppn40,birdhouse,1
449,e4,t_background,7,dishwasher,ppn40,birdhouse,0
449,e1,t_background,9,birdhouse,ppn40,birdhouse,1
449,e2,w_background,3,birdhouse,ppn40,birdhouse,1
449,e5,w_background,4,birdhouse,ppn40,birdhouse,1
449,e8,w_background,6,birdhouse,ppn40,birdhouse,1
469,e9,a_background,2,cab,ppn40,cab,1
469,e6,a_background,6,cab,ppn40,cab,1
469,e3,a_background,7,schoolbus,ppn40,cab,0
469,e1,t_background,5,cab,ppn40,cab,1
469,e7,t_background,1,cab,ppn40,cab,1
469,e4,t_background,9,cab,ppn40,cab,1
469,e2,w_background,3,cab,ppn40,cab,1
469,e5,w_background,4,cab,ppn40,cab,1
469,e8,w_background,8,sportscar,ppn40,cab,0
473,e9,a_background,6,bathtub,ppn40,canoe,0
473,e6,a_background,9,screen,ppn40,canoe,0
473,e3,a_background,4,pirateship,ppn40,canoe,0
473,e7,t_background,7,pirateship,ppn40,canoe,0
473,e4,t_background,1,canoe,ppn40,canoe,1
473,e1,t_background,8,canoe,ppn40,canoe,1
473,e8,w_background,2,canoe,ppn40,canoe,1
473,e2,w_background,3,canoe,ppn40,canoe,1
473,e5,w_background,5,canoe,ppn40,canoe,1
488,e6,a_background,1,remote,ppn40,cellulartelephone,0
488,e3,a_background,2,cellulartelephone,ppn40,cellulartelephone,1
488,e9,a_background,5,cellulartelephone,ppn40,cellulartelephone,1
488,e1,t_background,4,cellulartelephone,ppn40,cellulartelephone,1
488,e4,t_background,6,cellulartelephone,ppn40,cellulartelephone,1
488,e7,t_background,7,laptop,ppn40,cellulartelephone,0
488,e5,w_background,9,cellulartelephone,ppn40,cellulartelephone,1
488,e8,w_background,3,cellulartelephone,ppn40,cellulartelephone,1
488,e2,w_background,8,cellulartelephone,ppn40,cellulartelephone,1
496,e6,a_background,1,mailbox,ppn40,chinacabinet,0
496,e3,a_background,7,airliner,ppn40,chinacabinet,0
496,e9,a_background,9,printer,ppn40,chinacabinet,0
496,e7,t_background,5,chinacabinet,ppn40,chinacabinet,1
496,e1,t_background,2,parkbench,ppn40,chinacabinet,0
496,e4,t_background,8,laptop,ppn40,chinacabinet,0
496,e8,w_background,4,chinacabinet,ppn40,chinacabinet,1
496,e5,w_background,3,chinacabinet,ppn40,chinacabinet,1
496,e2,w_background,6,chinacabinet,ppn40,chinacabinet,1
535,e9,a_background,4,laptop,ppn40,dishwasher,0
535,e3,a_background,7,mailbox,ppn40,dishwasher,0
535,e6,a_background,3,dishwasher,ppn40,dishwasher,1
535,e4,t_background,5,dishwasher,ppn40,dishwasher,1
535,e1,t_background,6,laptop,ppn40,dishwasher,0
535,e7,t_background,2,bathtub,ppn40,dishwasher,0
535,e8,w_background,8,screen,ppn40,dishwasher,0
535,e2,w_background,1,printer,ppn40,dishwasher,0
535,e5,w_background,9,dishwasher,ppn40,dishwasher,1
580,e6,a_background,5,grandpiano,ppn40,grandpiano,1
580,e9,a_background,3,parkbench,ppn40,grandpiano,0
580,e3,a_background,4,canoe,ppn40,grandpiano,0
580,e7,t_background,6,grandpiano,ppn40,grandpiano,1
580,e1,t_background,2,canoe,ppn40,grandpiano,0
580,e4,t_background,9,loudspeaker,ppn40,grandpiano,0
580,e8,w_background,8,grandpiano,ppn40,grandpiano,1
580,e2,w_background,7,grandpiano,ppn40,grandpiano,1
580,e5,w_background,1,grandpiano,ppn40,grandpiano,1
621,e3,a_background,9,laptop,ppn40,laptop,1
621,e6,a_background,5,laptop,ppn40,laptop,1
621,e9,a_background,3,laptop,ppn40,laptop,1
621,e7,t_background,7,laptop,ppn40,laptop,1
621,e4,t_background,2,printer,ppn40,laptop,0
621,e1,t_background,1,screen,ppn40,laptop,0
621,e2,w_background,4,laptop,ppn40,laptop,1
621,e8,w_background,6,laptop,ppn40,laptop,1
621,e5,w_background,8,laptop,ppn40,laptop,1
628,e3,a_background,8,remote,ppn40,limousine,0
628,e9,a_background,5,limousine,ppn40,limousine,1
628,e6,a_background,9,sportscar,ppn40,limousine,0
628,e7,t_background,3,parkbench,ppn40,limousine,0
628,e4,t_background,7,speedboat,ppn40,limousine,0
628,e1,t_background,6,sportscar,ppn40,limousine,0
628,e5,w_background,1,sportscar,ppn40,limousine,0
628,e8,w_background,2,bathtub,ppn40,limousine,0
628,e2,w_background,4,sportscar,ppn40,limousine,0
633,e6,a_background,8,laptop,ppn40,loudspeaker,0
633,e9,a_background,1,chinacabinet,ppn40,loudspeaker,0
633,e3,a_background,4,loudspeaker,ppn40,loudspeaker,1
633,e7,t_background,6,dishwasher,ppn40,loudspeaker,0
633,e1,t_background,2,loudspeaker,ppn40,loudspeaker,1
633,e4,t_background,7,laptop,ppn40,loudspeaker,0
633,e2,w_background,9,loudspeaker,ppn40,loudspeaker,1
633,e5,w_background,3,microwave,ppn40,loudspeaker,0
633,e8,w_background,5,loudspeaker,ppn40,loudspeaker,1
638,e9,a_background,3,microphone,ppn40,mailbox,0
638,e3,a_background,1,mailbox,ppn40,mailbox,1
638,e6,a_background,9,grandpiano,ppn40,mailbox,0
638,e4,t_background,8,mailbox,ppn40,mailbox,1
638,e1,t_background,7,cab,ppn40,mailbox,0
638,e7,t_background,5,mailbox,ppn40,mailbox,1
638,e8,w_background,6,sportscar,ppn40,mailbox,0
638,e5,w_background,2,mailbox,ppn40,mailbox,1
638,e2,w_background,4,sportscar,ppn40,mailbox,0
651,e3,a_background,7,parkbench,ppn40,microphone,0
651,e6,a_background,1,remote,ppn40,microphone,0
651,e9,a_background,8,microwave,ppn40,microphone,0
651,e4,t_background,4,laptop,ppn40,microphone,0
651,e1,t_background,9,microwave,ppn40,microphone,0
651,e7,t_background,2,microphone,ppn40,microphone,1
651,e2,w_background,3,loudspeaker,ppn40,microphone,0
651,e5,w_background,6,microphone,ppn40,microphone,1
651,e8,w_background,5,microphone,ppn40,microphone,1
652,e3,a_background,7,pirateship,ppn40,microwave,0
652,e6,a_background,6,airliner,ppn40,microwave,0
652,e9,a_background,1,microwave,ppn40,microwave,1
652,e4,t_background,9,microwave,ppn40,microwave,1
652,e7,t_background,3,microwave,ppn40,microwave,1
652,e1,t_background,2,screen,ppn40,microwave,0
652,e5,w_background,5,microwave,ppn40,microwave,1
652,e8,w_background,8,microwave,ppn40,microwave,1
652,e2,w_background,4,microwave,ppn40,microwave,1
704,e3,a_background,6,parkbench,ppn40,parkbench,1
704,e6,a_background,5,parkbench,ppn40,parkbench,1
704,e9,a_background,4,parkbench,ppn40,parkbench,1
704,e7,t_background,2,canoe,ppn40,parkbench,0
704,e1,t_background,3,parkbench,ppn40,parkbench,1
704,e4,t_background,9,parkbench,ppn40,parkbench,1
704,e2,w_background,8,canoe,ppn40,parkbench,0
704,e8,w_background,7,parkbench,ppn40,parkbench,1
704,e5,w_background,1,parkbench,ppn40,parkbench,1
725,e9,a_background,9,pirateship,ppn40,pirateship,1
725,e3,a_background,1,tablelamp,ppn40,pirateship,0
725,e6,a_background,8,remote,ppn40,pirateship,0
725,e7,t_background,5,pirateship,ppn40,pirateship,1
725,e1,t_background,7,pirateship,ppn40,pirateship,1
725,e4,t_background,6,pirateship,ppn40,pirateship,1
725,e8,w_background,2,pirateship,ppn40,pirateship,1
725,e2,w_background,4,pirateship,ppn40,pirateship,1
725,e5,w_background,3,pirateship,ppn40,pirateship,1
743,e9,a_background,9,parkbench,ppn40,printer,0
743,e3,a_background,7,schoolbus,ppn40,printer,0
743,e6,a_background,4,cab,ppn40,printer,0
743,e4,t_background,1,microwave,ppn40,printer,0
743,e1,t_background,3,dishwasher,ppn40,printer,0
743,e7,t_background,6,remote,ppn40,printer,0
743,e2,w_background,5,printer,ppn40,printer,1
743,e5,w_background,8,dishwasher,ppn40,printer,0
743,e8,w_background,2,printer,ppn40,printer,1
762,e3,a_background,8,cellulartelephone,ppn40,remote,0
762,e6,a_background,6,cellulartelephone,ppn40,remote,0
762,e9,a_background,5,limousine,ppn40,remote,0
762,e4,t_background,4,cellulartelephone,ppn40,remote,0
762,e1,t_background,1,microphone,ppn40,remote,0
762,e7,t_background,7,airliner,ppn40,remote,0
762,e5,w_background,3,remote,ppn40,remote,1
762,e2,w_background,2,cellulartelephone,ppn40,remote,0
762,e8,w_background,9,remote,ppn40,remote,1
766,e6,a_background,3,rockingchair,ppn40,rockingchair,1
766,e9,a_background,2,cab,ppn40,rockingchair,0
766,e3,a_background,1,parkbench,ppn40,rockingchair,0
766,e1,t_background,8,wallclock,ppn40,rockingchair,0
766,e4,t_background,4,rockingchair,ppn40,rockingchair,1
766,e7,t_background,9,parkbench,ppn40,rockingchair,0
766,e2,w_background,6,rockingchair,ppn40,rockingchair,1
766,e5,w_background,5,rockingchair,ppn40,rockingchair,1
766,e8,w_background,7,rockingchair,ppn40,rockingchair,1
780,e6,a_background,6,schoolbus,ppn40,schoolbus,1
780,e9,a_background,3,schoolbus,ppn40,schoolbus,1
780,e3,a_background,7,birdhouse,ppn40,schoolbus,0
780,e4,t_background,5,schoolbus,ppn40,schoolbus,1
780,e7,t_background,4,schoolbus,ppn40,schoolbus,1
780,e1,t_background,1,schoolbus,ppn40,schoolbus,1
780,e8,w_background,2,cab,ppn40,schoolbus,0
780,e2,w_background,8,schoolbus,ppn40,schoolbus,1
780,e5,w_background,9,schoolbus,ppn40,schoolbus,1
783,e3,a_background,2,laptop,ppn40,screen,0
783,e6,a_background,6,microwave,ppn40,screen,0
783,e9,a_background,8,birdhouse,ppn40,screen,0
783,e7,t_background,3,pirateship,ppn40,screen,0
783,e1,t_background,4,cellulartelephone,ppn40,screen,0
783,e4,t_background,5,screen,ppn40,screen,1
783,e2,w_background,9,screen,ppn40,screen,1
783,e8,w_background,1,dishwasher,ppn40,screen,0
783,e5,w_background,7,screen,ppn40,screen,1
815,e6,a_background,4,dishwasher,ppn40,speedboat,0
815,e3,a_background,6,parkbench,ppn40,speedboat,0
815,e9,a_background,7,canoe,ppn40,speedboat,0
815,e1,t_background,3,speedboat,ppn40,speedboat,1
815,e7,t_background,8,speedboat,ppn40,speedboat,1
815,e4,t_background,5,speedboat,ppn40,speedboat,1
815,e2,w_background,9,speedboat,ppn40,speedboat,1
815,e5,w_background,1,mailbox,ppn40,speedboat,0
815,e8,w_background,2,speedboat,ppn40,speedboat,1
818,e9,a_background,6,sportscar,ppn40,sportscar,1
818,e6,a_background,8,sportscar,ppn40,sportscar,1
818,e3,a_background,9,sportscar,ppn40,sportscar,1
818,e1,t_background,4,cab,ppn40,sportscar,0
818,e7,t_background,7,sportscar,ppn40,sportscar,1
818,e4,t_background,5,sportscar,ppn40,sportscar,1
818,e5,w_background,1,sportscar,ppn40,sportscar,1
818,e8,w_background,2,sportscar,ppn40,sportscar,1
818,e2,w_background,3,cab,ppn40,sportscar,0
847,e3,a_background,2,tablelamp,ppn40,tablelamp,1
847,e9,a_background,3,microphone,ppn40,tablelamp,0
847,e6,a_background,4,dishwasher,ppn40,tablelamp,0
847,e7,t_background,5,tablelamp,ppn40,tablelamp,1
847,e4,t_background,9,acousticguitar,ppn40,tablelamp,0
847,e1,t_background,6,tablelamp,ppn40,tablelamp,1
847,e8,w_background,8,tablelamp,ppn40,tablelamp,1
847,e2,w_background,7,microphone,ppn40,tablelamp,0
847,e5,w_background,1,tablelamp,ppn40,tablelamp,1
893,e6,a_background,4,wallclock,ppn40,wallclock,1
893,e9,a_background,1,wallclock,ppn40,wallclock,1
893,e3,a_background,6,cab,ppn40,wallclock,0
893,e4,t_background,2,wallclock,ppn40,wallclock,1
893,e7,t_background,3,wallclock,ppn40,wallclock,1
893,e1,t_background,8,wallclock,ppn40,wallclock,1
